BeginSample
	_SampleName, "Sample4.mss"
	_MethodName, "Multicycle Compression to Displacement Points.msm"
	PercentSetLoad, 0.000,  "N"
	BreakDrop, 50.0,  "%"
	BreakElongation, 2.540,  "mm"
	BreakSensitivity, 90,  "%"
	BreakThreshold, 2.224,  "N"
	CycleSavingFrequency, 1,  ""
	DataAcqRate, 10.0,  "Hz"
	EndPointBreakingAmount, 0.000,  "mm"
	Extension1, 0.000,  "mm"
	Extension2, 38.100,  "mm"
	Extension3, 44.450,  "mm"
	ExtLimitHigh, 508,  "mm"
	ExtLimitLow, -0.25,  "mm"
	GageLength, 25.557,  "mm"
	Header1, "",  ""
	Header2, "",  ""
	Header3, "",  ""
	HoldTime1, 60.000,  "s"
	HoldTime2, 0.000,  "s"
	LoadLimitHigh, 10009,  "N"
	LoadLimitLow, -4448,  "N"
	_MaxSpecimens, 999,  ""
	ModulusExt1, 30.480,  "mm"
	ModulusExt2, 45.720,  "mm"
	NumCycles, 1,  ""
	PerformPreLoad, "1 Yes",  ""
	PreLoad, 10.000,  "N"
	PreLoadSpeed, 5.000,  "mm/min"
	SampleInfo1, "",  ""
	SampleInfo2, "",  ""
	SampleInfo3, "",  ""
	SampleInfo4, "",  ""
	SampleInfo5, "",  ""
	SampleInfo6, "",  ""
	SampleInfo7, "",  ""
	SampleInfo8, "",  ""
	SampleInfo9, "",  ""
	SampleInfo10, "",  ""
	SampleID, "DensityGroup1TestSpeed1",  ""
	SaveFirstCycle, "1 Yes",  ""
	SaveLastCycle, "1 Yes",  ""
	SlackPreLoad, 4.448,  "N"
	SlopeSegLength, 20.000,  "%"
	StrainLimitHigh, 10,  "mm/mm"
	StrainLimitLow, -10,  "mm/mm"
	StressLimitHigh, 207,  "MPa"
	StressLimitLow, -207,  "MPa"
	TimeLimit, 10000,  "s"
	ZeroExtAfterPreLoad, "1 Yes",  ""
	BeginSpecimen
		Endpoint1, 0.205,  "mm"
		Endpoint2, 0.000,  "mm"
		Comment, "",  ""
		TestSpeed, 0.8,  "mm/min"
		Thickness, 12.70,  "mm"
		Width, 12.25,  "mm"
		AdjGage, 21.155,  "mm"
		Area, 155.5750,  "mm^2"
		BreakCycle, ****,  ""
		Break, ****,  ""
		LoadAtBreak, ****,  "N"
		CycleStatus, "5 of 5 Cycle(s)",  ""
		GageAdjustment, 0.615,  "mm"
		LoadCellCapacity, 10000.000,  "N"
		PeakLoadForEntireTest, 45.516,  "N"
		PreConditioningGageAdjustment, ****,  "mm"
		PreLoadStatus, "PreLoad Section",  ""
		PreTestGageAdjustment, 0.615,  "mm"
		SlackVal, 0.615,  "mm"
		TestStatus, "5 of 5 Cycle(s)",  ""
		BeginData
			1, 0.010, 11.967, 1.000, 0.082, 0.001
			1, 0.011, 12.283, 1.200, 0.084, 0.001
			1, 0.012, 12.619, 1.400, 0.087, 0.001
			1, 0.014, 12.985, 1.600, 0.089, 0.001
			1, 0.016, 13.286, 1.800, 0.091, 0.001
			1, 0.017, 13.803, 2.000, 0.095, 0.001
			1, 0.019, 14.285, 2.200, 0.098, 0.002
			1, 0.022, 14.873, 2.400, 0.102, 0.002
			1, 0.023, 15.196, 2.600, 0.104, 0.002
			1, 0.024, 15.529, 2.800, 0.107, 0.002
			1, 0.026, 15.894, 3.000, 0.109, 0.002
			1, 0.027, 16.265, 3.200, 0.112, 0.002
			1, 0.029, 16.713, 3.400, 0.115, 0.002
			1, 0.031, 17.089, 3.600, 0.117, 0.002
			1, 0.032, 17.476, 3.800, 0.120, 0.003
			1, 0.034, 17.896, 4.000, 0.123, 0.003
			1, 0.036, 18.504, 4.200, 0.127, 0.003
			1, 0.038, 18.961, 4.400, 0.130, 0.003
			1, 0.040, 19.528, 4.600, 0.134, 0.003
			1, 0.041, 19.883, 4.800, 0.137, 0.003
			1, 0.043, 20.279, 5.000, 0.139, 0.003
			1, 0.044, 20.677, 5.200, 0.142, 0.003
			1, 0.046, 21.099, 5.400, 0.145, 0.004
			1, 0.047, 21.530, 5.600, 0.148, 0.004
			1, 0.049, 21.973, 5.800, 0.151, 0.004
			1, 0.051, 22.372, 6.000, 0.154, 0.004
			1, 0.052, 22.907, 6.200, 0.157, 0.004
			1, 0.054, 23.549, 6.400, 0.162, 0.004
			1, 0.056, 24.099, 6.600, 0.165, 0.004
			1, 0.058, 24.569, 6.800, 0.169, 0.005
			1, 0.059, 24.896, 7.000, 0.171, 0.005
			1, 0.061, 25.332, 7.200, 0.174, 0.005
			1, 0.062, 25.784, 7.400, 0.177, 0.005
			1, 0.064, 26.231, 7.600, 0.180, 0.005
			1, 0.066, 26.700, 7.800, 0.183, 0.005
			1, 0.067, 27.139, 8.000, 0.186, 0.005
			1, 0.069, 27.602, 8.200, 0.189, 0.005
			1, 0.071, 28.177, 8.400, 0.193, 0.006
			1, 0.072, 28.788, 8.600, 0.198, 0.006
			1, 0.074, 29.422, 8.800, 0.202, 0.006
			1, 0.076, 29.809, 9.000, 0.205, 0.006
			1, 0.077, 30.228, 9.200, 0.208, 0.006
			1, 0.079, 30.633, 9.400, 0.210, 0.006
			1, 0.081, 31.097, 9.600, 0.213, 0.006
			1, 0.082, 31.563, 9.800, 0.217, 0.006
			1, 0.084, 32.032, 10.000, 0.220, 0.007
			1, 0.085, 32.483, 10.200, 0.223, 0.007
			1, 0.087, 32.939, 10.400, 0.226, 0.007
			1, 0.089, 33.585, 10.600, 0.231, 0.007
			1, 0.091, 34.175, 10.800, 0.235, 0.007
			1, 0.092, 34.794, 11.000, 0.239, 0.007
			1, 0.094, 35.205, 11.200, 0.242, 0.007
			1, 0.096, 35.627, 11.400, 0.245, 0.007
			1, 0.097, 36.052, 11.600, 0.248, 0.008
			1, 0.099, 36.509, 11.800, 0.251, 0.008
			1, 0.100, 36.981, 12.000, 0.254, 0.008
			1, 0.102, 37.466, 12.200, 0.257, 0.008
			1, 0.103, 37.938, 12.400, 0.260, 0.008
			1, 0.105, 38.457, 12.600, 0.264, 0.008
			1, 0.107, 39.110, 12.800, 0.269, 0.008
			1, 0.109, 39.706, 13.000, 0.273, 0.009
			1, 0.111, 40.303, 13.200, 0.277, 0.009
			1, 0.112, 40.680, 13.400, 0.279, 0.009
			1, 0.114, 41.114, 13.600, 0.282, 0.009
			1, 0.115, 41.537, 13.800, 0.285, 0.009
			1, 0.117, 41.995, 14.000, 0.288, 0.009
			1, 0.118, 42.491, 14.200, 0.292, 0.009
			1, 0.120, 42.959, 14.400, 0.295, 0.009
			1, 0.121, 43.417, 14.600, 0.298, 0.010
			1, 0.123, 43.979, 14.800, 0.302, 0.010
			1, 0.125, 44.633, 15.000, 0.306, 0.010
			1, 0.127, 45.274, 15.200, 0.311, 0.010
			1, 0.129, 45.824, 15.400, 0.315, 0.010
			1, 0.131, 46.210, 15.600, 0.317, 0.010
			1, 0.132, 46.657, 15.800, 0.320, 0.010
			1, 0.133, 47.090, 16.000, 0.323, 0.010
			1, 0.135, 47.523, 16.200, 0.326, 0.011
			1, 0.136, 47.988, 16.400, 0.329, 0.011
			1, 0.138, 48.459, 16.600, 0.333, 0.011
			1, 0.139, 48.958, 16.800, 0.336, 0.011
			1, 0.142, 49.580, 17.000, 0.340, 0.011
			1, 0.144, 50.206, 17.200, 0.345, 0.011
			1, 0.146, 50.900, 17.400, 0.349, 0.011
			1, 0.147, 51.275, 17.600, 0.352, 0.012
			1, 0.149, 51.628, 17.800, 0.354, 0.012
			1, 0.150, 52.108, 18.000, 0.358, 0.012
			1, 0.151, 52.495, 18.200, 0.360, 0.012
			1, 0.153, 52.947, 18.400, 0.363, 0.012
			1, 0.154, 53.414, 18.600, 0.367, 0.012
			1, 0.156, 53.890, 18.800, 0.370, 0.012
			1, 0.158, 54.388, 19.000, 0.373, 0.012
			1, 0.160, 55.017, 19.200, 0.378, 0.013
			1, 0.162, 55.611, 19.400, 0.382, 0.013
			1, 0.164, 56.164, 19.600, 0.386, 0.013
			1, 0.165, 56.603, 19.800, 0.389, 0.013
			1, 0.167, 56.940, 20.000, 0.391, 0.013
			1, 0.168, 57.348, 20.200, 0.394, 0.013
			1, 0.169, 57.793, 20.400, 0.397, 0.013
			1, 0.171, 58.265, 20.600, 0.400, 0.013
			1, 0.172, 58.699, 20.800, 0.403, 0.014
			1, 0.174, 59.142, 21.000, 0.406, 0.014
			1, 0.176, 59.651, 21.200, 0.410, 0.014
			1, 0.178, 60.279, 21.400, 0.414, 0.014
			1, 0.180, 60.916, 21.600, 0.418, 0.014
			1, 0.182, 61.411, 21.800, 0.422, 0.014
			1, 0.183, 61.772, 22.000, 0.424, 0.014
			1, 0.185, 62.182, 22.200, 0.427, 0.015
			1, 0.186, 62.591, 22.400, 0.430, 0.015
			1, 0.188, 63.003, 22.600, 0.433, 0.015
			1, 0.189, 63.403, 22.800, 0.435, 0.015
			1, 0.191, 63.843, 23.000, 0.438, 0.015
			1, 0.192, 64.262, 23.200, 0.441, 0.015
			1, 0.194, 64.787, 23.400, 0.445, 0.015
			1, 0.196, 65.402, 23.600, 0.449, 0.015
			1, 0.199, 66.025, 23.800, 0.453, 0.016
			1, 0.200, 66.469, 24.000, 0.456, 0.016
			1, 0.201, 66.768, 24.200, 0.458, 0.016
			1, 0.203, 67.153, 24.400, 0.461, 0.016
			1, 0.204, 67.540, 24.600, 0.464, 0.016
			1, 0.206, 67.989, 24.800, 0.467, 0.016
			1, 0.207, 68.414, 25.000, 0.470, 0.016
			1, 0.209, 68.775, 25.200, 0.472, 0.016
			1, 0.211, 69.256, 25.400, 0.475, 0.017
			1, 0.213, 69.804, 25.600, 0.479, 0.017
			1, 0.215, 70.366, 25.800, 0.483, 0.017
			1, 0.217, 70.989, 26.000, 0.487, 0.017
			1, 0.218, 71.279, 26.200, 0.489, 0.017
			1, 0.220, 71.642, 26.400, 0.492, 0.017
			1, 0.221, 71.993, 26.600, 0.494, 0.017
			1, 0.222, 72.399, 26.800, 0.497, 0.017
			1, 0.224, 72.821, 27.000, 0.500, 0.018
			1, 0.226, 73.209, 27.200, 0.503, 0.018
			1, 0.227, 73.570, 27.400, 0.505, 0.018
			1, 0.229, 74.010, 27.600, 0.508, 0.018
			1, 0.231, 74.617, 27.800, 0.512, 0.018
			1, 0.233, 75.178, 28.000, 0.516, 0.018
			1, 0.235, 75.752, 28.200, 0.520, 0.018
			1, 0.237, 76.013, 28.400, 0.522, 0.019
			1, 0.238, 76.357, 28.600, 0.524, 0.019
			1, 0.239, 76.724, 28.800, 0.527, 0.019
			1, 0.241, 77.105, 29.000, 0.529, 0.019
			1, 0.242, 77.468, 29.200, 0.532, 0.019
			1, 0.244, 77.859, 29.400, 0.535, 0.019
			1, 0.246, 78.284, 29.600, 0.537, 0.019
			1, 0.247, 78.750, 29.800, 0.541, 0.019
			1, 0.249, 79.201, 29.950, 0.544, 0.020
			1, 0.249, 79.209, 29.970, 0.544, 0.020
			1, 0.250, 79.217, 30.200, 0.544, 0.020
			1, 0.250, 79.007, 30.400, 0.542, 0.020
			1, 0.250, 78.866, 30.600, 0.541, 0.020
			1, 0.250, 78.690, 30.800, 0.540, 0.020
			1, 0.250, 78.543, 31.000, 0.539, 0.020
			1, 0.250, 78.323, 31.200, 0.538, 0.020
			1, 0.250, 78.239, 31.400, 0.537, 0.020
			1, 0.250, 78.090, 31.600, 0.536, 0.020
			1, 0.250, 77.988, 31.800, 0.535, 0.020
			1, 0.250, 77.840, 32.000, 0.534, 0.020
			1, 0.250, 77.727, 32.200, 0.534, 0.020
			1, 0.250, 77.648, 32.400, 0.533, 0.020
			1, 0.250, 77.542, 32.600, 0.532, 0.020
			1, 0.250, 77.468, 32.800, 0.532, 0.020
			1, 0.250, 77.362, 33.000, 0.531, 0.020
			1, 0.250, 77.286, 33.200, 0.531, 0.020
			1, 0.250, 77.189, 33.400, 0.530, 0.020
			1, 0.250, 77.118, 33.600, 0.529, 0.020
			1, 0.250, 77.029, 33.800, 0.529, 0.020
			1, 0.250, 76.951, 34.000, 0.528, 0.020
			1, 0.250, 76.857, 34.200, 0.528, 0.020
			1, 0.249, 76.805, 34.400, 0.527, 0.020
			1, 0.249, 76.646, 34.600, 0.526, 0.020
			1, 0.249, 76.436, 34.800, 0.525, 0.020
			1, 0.248, 76.115, 35.000, 0.523, 0.019
			1, 0.246, 75.533, 35.200, 0.519, 0.019
			1, 0.244, 74.652, 35.400, 0.513, 0.019
			1, 0.242, 73.862, 35.600, 0.507, 0.019
			1, 0.241, 73.140, 35.800, 0.502, 0.019
			1, 0.239, 72.528, 36.000, 0.498, 0.019
			1, 0.238, 71.907, 36.200, 0.494, 0.019
			1, 0.236, 71.163, 36.400, 0.489, 0.019
			1, 0.234, 70.474, 36.600, 0.484, 0.018
			1, 0.232, 69.844, 36.800, 0.479, 0.018
			1, 0.231, 69.207, 37.000, 0.475, 0.018
			1, 0.229, 68.523, 37.200, 0.470, 0.018
			1, 0.228, 67.881, 37.400, 0.466, 0.018
			1, 0.226, 67.120, 37.600, 0.461, 0.018
			1, 0.224, 66.308, 37.800, 0.455, 0.018
			1, 0.222, 65.682, 38.000, 0.451, 0.017
			1, 0.221, 65.094, 38.200, 0.447, 0.017
			1, 0.219, 64.491, 38.400, 0.443, 0.017
			1, 0.217, 63.868, 38.600, 0.438, 0.017
			1, 0.216, 63.180, 38.800, 0.434, 0.017
			1, 0.214, 62.605, 39.000, 0.430, 0.017
			1, 0.212, 61.967, 39.200, 0.425, 0.017
			1, 0.211, 61.333, 39.400, 0.421, 0.017
			1, 0.209, 60.687, 39.600, 0.417, 0.016
			1, 0.207, 59.944, 39.800, 0.412, 0.016
			1, 0.206, 59.229, 40.000, 0.407, 0.016
			1, 0.204, 58.615, 40.200, 0.402, 0.016
			1, 0.202, 58.048, 40.400, 0.399, 0.016
			1, 0.201, 57.405, 40.600, 0.394, 0.016
			1, 0.199, 56.775, 40.800, 0.390, 0.016
			1, 0.197, 56.192, 41.000, 0.386, 0.015
			1, 0.196, 55.617, 41.200, 0.382, 0.015
			1, 0.194, 55.038, 41.400, 0.378, 0.015
			1, 0.192, 54.442, 41.600, 0.374, 0.015
			1, 0.191, 53.686, 41.800, 0.369, 0.015
			1, 0.189, 53.000, 42.000, 0.364, 0.015
			1, 0.187, 52.325, 42.200, 0.359, 0.015
			1, 0.186, 51.798, 42.400, 0.356, 0.015
			1, 0.184, 51.243, 42.600, 0.352, 0.014
			1, 0.182, 50.592, 42.800, 0.347, 0.014
			1, 0.181, 49.999, 43.000, 0.343, 0.014
			1, 0.179, 49.369, 43.200, 0.339, 0.014
			1, 0.177, 48.877, 43.400, 0.336, 0.014
			1, 0.176, 48.245, 43.600, 0.331, 0.014
			1, 0.174, 47.619, 43.800, 0.327, 0.014
			1, 0.172, 46.926, 44.000, 0.322, 0.013
			1, 0.170, 46.188, 44.200, 0.317, 0.013
			1, 0.169, 45.630, 44.400, 0.313, 0.013
			1, 0.167, 45.114, 44.600, 0.310, 0.013
			1, 0.166, 44.541, 44.800, 0.306, 0.013
			1, 0.164, 43.967, 45.000, 0.302, 0.013
			1, 0.162, 43.353, 45.200, 0.298, 0.013
			1, 0.161, 42.800, 45.400, 0.294, 0.013
			1, 0.159, 42.251, 45.600, 0.290, 0.012
			1, 0.157, 41.654, 45.800, 0.286, 0.012
			1, 0.156, 41.068, 46.000, 0.282, 0.012
			1, 0.154, 40.364, 46.200, 0.277, 0.012
			1, 0.152, 39.738, 46.400, 0.273, 0.012
			1, 0.150, 39.206, 46.600, 0.269, 0.012
			1, 0.149, 38.692, 46.800, 0.266, 0.012
			1, 0.147, 38.129, 47.000, 0.262, 0.012
			1, 0.146, 37.550, 47.200, 0.258, 0.011
			1, 0.144, 37.020, 47.400, 0.254, 0.011
			1, 0.142, 36.464, 47.600, 0.250, 0.011
			1, 0.141, 35.951, 47.800, 0.247, 0.011
			1, 0.139, 35.352, 48.000, 0.243, 0.011
			1, 0.137, 34.705, 48.200, 0.238, 0.011
			1, 0.135, 34.066, 48.400, 0.234, 0.011
			1, 0.134, 33.461, 48.600, 0.230, 0.010
			1, 0.132, 32.951, 48.800, 0.226, 0.010
			1, 0.131, 32.454, 49.000, 0.223, 0.010
			1, 0.129, 31.887, 49.200, 0.219, 0.010
			1, 0.127, 31.333, 49.400, 0.215, 0.010
			1, 0.126, 30.798, 49.600, 0.211, 0.010
			1, 0.124, 30.336, 49.800, 0.208, 0.010
			1, 0.122, 29.801, 50.000, 0.205, 0.010
			1, 0.121, 29.294, 50.200, 0.201, 0.009
			1, 0.119, 28.636, 50.400, 0.197, 0.009
			1, 0.117, 28.058, 50.600, 0.193, 0.009
			1, 0.116, 27.492, 50.800, 0.189, 0.009
			1, 0.114, 27.051, 51.000, 0.186, 0.009
			1, 0.112, 26.568, 51.200, 0.182, 0.009
			1, 0.111, 25.998, 51.400, 0.178, 0.009
			1, 0.109, 25.511, 51.600, 0.175, 0.009
			1, 0.107, 25.069, 51.800, 0.172, 0.008
			1, 0.106, 24.567, 52.000, 0.169, 0.008
			1, 0.104, 24.059, 52.200, 0.165, 0.008
			1, 0.103, 23.639, 52.400, 0.162, 0.008
			1, 0.101, 22.962, 52.600, 0.158, 0.008
			1, 0.099, 22.413, 52.800, 0.154, 0.008
			1, 0.097, 21.964, 53.000, 0.151, 0.008
			1, 0.096, 21.517, 53.200, 0.148, 0.007
			1, 0.094, 21.003, 53.400, 0.144, 0.007
			1, 0.092, 20.491, 53.600, 0.141, 0.007
			1, 0.091, 20.045, 53.800, 0.138, 0.007
			1, 0.089, 19.554, 54.000, 0.134, 0.007
			1, 0.088, 19.144, 54.200, 0.131, 0.007
			1, 0.086, 18.666, 54.400, 0.128, 0.007
			1, 0.084, 18.197, 54.600, 0.125, 0.007
			1, 0.082, 17.607, 54.800, 0.121, 0.006
			1, 0.081, 17.122, 55.000, 0.118, 0.006
			1, 0.079, 16.680, 55.200, 0.115, 0.006
			1, 0.077, 16.258, 55.400, 0.112, 0.006
			1, 0.076, 15.823, 55.600, 0.109, 0.006
			1, 0.074, 15.343, 55.800, 0.105, 0.006
			1, 0.073, 14.966, 56.000, 0.103, 0.006
			1, 0.071, 14.555, 56.200, 0.100, 0.006
			1, 0.070, 14.079, 56.400, 0.097, 0.005
			1, 0.068, 13.697, 56.600, 0.094, 0.005
			1, 0.066, 13.201, 56.800, 0.091, 0.005
			1, 0.064, 12.735, 57.000, 0.087, 0.005
			1, 0.062, 12.252, 57.200, 0.084, 0.005
			1, 0.061, 11.921, 57.400, 0.082, 0.005
			1, 0.059, 11.560, 57.600, 0.079, 0.005
			1, 0.058, 11.122, 57.800, 0.076, 0.005
			1, 0.056, 10.754, 58.000, 0.074, 0.004
			1, 0.054, 10.358, 58.200, 0.071, 0.004
			1, 0.053, 10.004, 58.400, 0.069, 0.004
			1, 0.051, 9.607, 58.600, 0.066, 0.004
			1, 0.050, 9.212, 58.800, 0.063, 0.004
			1, 0.048, 8.781, 59.000, 0.060, 0.004
			1, 0.046, 8.351, 59.200, 0.057, 0.004
			1, 0.044, 7.983, 59.400, 0.055, 0.003
			1, 0.043, 7.640, 59.600, 0.052, 0.003
			1, 0.041, 7.350, 59.800, 0.050, 0.003
			1, 0.039, 6.994, 60.000, 0.048, 0.003
			1, 0.038, 6.649, 60.200, 0.046, 0.003
			1, 0.036, 6.334, 60.400, 0.043, 0.003
			1, 0.035, 6.096, 60.600, 0.042, 0.003
			1, 0.033, 5.702, 60.800, 0.039, 0.003
			1, 0.031, 5.420, 61.000, 0.037, 0.002
			1, 0.029, 5.107, 61.200, 0.035, 0.002
			1, 0.027, 4.706, 61.400, 0.032, 0.002
			1, 0.026, 4.421, 61.600, 0.030, 0.002
			1, 0.024, 4.296, 61.800, 0.029, 0.002
			1, 0.023, 4.036, 62.000, 0.028, 0.002
			1, 0.021, 3.711, 62.200, 0.025, 0.002
			1, 0.020, 3.544, 62.400, 0.024, 0.002
			1, 0.018, 3.215, 62.600, 0.022, 0.001
			1, 0.017, 3.058, 62.800, 0.021, 0.001
			1, 0.015, 2.874, 63.000, 0.020, 0.001
			1, 0.013, 2.755, 63.200, 0.019, 0.001
			1, 0.011, 2.515, 63.400, 0.017, 0.001
			1, 0.009, 2.459, 63.600, 0.017, 0.001
			1, 0.008, 2.331, 63.800, 0.016, 0.001
			1, 0.006, 2.251, 64.000, 0.015, 0.000
			1, 0.005, 2.049, 64.200, 0.014, 0.000
			1, 0.003, 1.854, 64.400, 0.013, 0.000
			1, 0.002, 1.897, 64.600, 0.013, 0.000
			1, -0.000, 1.858, 64.780, 0.013, -0.000
			2, -0.000, 1.831, 64.810, 0.013, -0.000
			2, -0.000, 1.693, 64.900, 0.012, -0.000
			2, -0.001, 1.695, 65.200, 0.012, -0.000
			2, -0.001, 1.900, 65.400, 0.013, -0.000
			2, -0.001, 1.853, 65.600, 0.013, -0.000
			2, -0.001, 1.825, 65.800, 0.013, -0.000
			2, -0.001, 2.007, 66.000, 0.014, -0.000
			2, -0.001, 1.985, 66.200, 0.014, -0.000
			2, -0.001, 1.976, 66.400, 0.014, -0.000
			2, -0.000, 1.934, 66.600, 0.013, -0.000
			2, -0.000, 1.971, 66.800, 0.014, -0.000
			2, -0.000, 1.999, 67.000, 0.014, -0.000
			2, -0.000, 2.017, 67.200, 0.014, -0.000
			2, -0.000, 2.064, 67.400, 0.014, -0.000
			2, -0.000, 2.117, 67.600, 0.015, -0.000
			2, -0.000, 2.220, 67.800, 0.015, -0.000
			2, -0.000, 2.177, 68.000, 0.015, -0.000
			2, -0.000, 2.087, 68.200, 0.014, -0.000
			2, 0.001, 2.159, 68.400, 0.015, 0.000
			2, 0.001, 2.269, 68.600, 0.016, 0.000
			2, 0.001, 2.208, 68.800, 0.015, 0.000
			2, 0.001, 2.216, 69.000, 0.015, 0.000
			2, 0.001, 2.358, 69.200, 0.016, 0.000
			2, 0.002, 2.394, 69.400, 0.016, 0.000
			2, 0.003, 2.477, 69.600, 0.017, 0.000
			2, 0.005, 2.874, 69.800, 0.020, 0.000
			2, 0.007, 3.128, 70.000, 0.021, 0.001
			2, 0.009, 3.443, 70.200, 0.024, 0.001
			2, 0.010, 3.684, 70.400, 0.025, 0.001
			2, 0.011, 3.897, 70.600, 0.027, 0.001
			2, 0.013, 4.199, 70.800, 0.029, 0.001
			2, 0.014, 4.619, 71.000, 0.032, 0.001
			2, 0.016, 4.870, 71.200, 0.033, 0.001
			2, 0.017, 5.190, 71.400, 0.036, 0.001
			2, 0.019, 5.496, 71.600, 0.038, 0.002
			2, 0.021, 6.013, 71.800, 0.041, 0.002
			2, 0.023, 6.495, 72.000, 0.045, 0.002
			2, 0.026, 7.008, 72.200, 0.048, 0.002
			2, 0.027, 7.333, 72.400, 0.050, 0.002
			2, 0.028, 7.707, 72.600, 0.053, 0.002
			2, 0.030, 8.097, 72.800, 0.056, 0.002
			2, 0.031, 8.515, 73.000, 0.058, 0.002
			2, 0.033, 8.910, 73.200, 0.061, 0.003
			2, 0.034, 9.332, 73.400, 0.064, 0.003
			2, 0.036, 9.743, 73.600, 0.067, 0.003
			2, 0.037, 10.221, 73.800, 0.070, 0.003
			2, 0.040, 10.790, 74.000, 0.074, 0.003
			2, 0.042, 11.377, 74.200, 0.078, 0.003
			2, 0.043, 11.811, 74.400, 0.081, 0.003
			2, 0.045, 12.182, 74.600, 0.084, 0.004
			2, 0.046, 12.622, 74.800, 0.087, 0.004
			2, 0.047, 13.041, 75.000, 0.090, 0.004
			2, 0.049, 13.494, 75.200, 0.093, 0.004
			2, 0.051, 13.893, 75.400, 0.095, 0.004
			2, 0.052, 14.349, 75.600, 0.099, 0.004
			2, 0.054, 14.791, 75.800, 0.102, 0.004
			2, 0.056, 15.436, 76.000, 0.106, 0.004
			2, 0.058, 16.055, 76.200, 0.110, 0.005
			2, 0.060, 16.582, 76.400, 0.114, 0.005
			2, 0.061, 17.036, 76.600, 0.117, 0.005
			2, 0.062, 17.450, 76.800, 0.120, 0.005
			2, 0.064, 17.883, 77.000, 0.123, 0.005
			2, 0.066, 18.358, 77.200, 0.126, 0.005
			2, 0.067, 18.847, 77.400, 0.129, 0.005
			2, 0.069, 19.325, 77.600, 0.133, 0.005
			2, 0.071, 19.766, 77.800, 0.136, 0.006
			2, 0.072, 20.273, 78.000, 0.139, 0.006
			2, 0.074, 20.936, 78.200, 0.144, 0.006
			2, 0.076, 21.538, 78.400, 0.148, 0.006
			2, 0.078, 22.115, 78.600, 0.152, 0.006
			2, 0.079, 22.516, 78.800, 0.155, 0.006
			2, 0.081, 22.964, 79.000, 0.158, 0.006
			2, 0.082, 23.417, 79.200, 0.161, 0.006
			2, 0.084, 23.893, 79.400, 0.164, 0.007
			2, 0.086, 24.428, 79.600, 0.168, 0.007
			2, 0.087, 24.889, 79.800, 0.171, 0.007
			2, 0.089, 25.393, 80.000, 0.174, 0.007
			2, 0.090, 25.899, 80.200, 0.178, 0.007
			2, 0.092, 26.610, 80.400, 0.183, 0.007
			2, 0.094, 27.217, 80.600, 0.187, 0.007
			2, 0.096, 27.798, 80.800, 0.191, 0.008
			2, 0.097, 28.241, 81.000, 0.194, 0.008
			2, 0.099, 28.735, 81.200, 0.197, 0.008
			2, 0.101, 29.165, 81.400, 0.200, 0.008
			2, 0.102, 29.650, 81.600, 0.204, 0.008
			2, 0.104, 30.173, 81.800, 0.207, 0.008
			2, 0.105, 30.670, 82.000, 0.211, 0.008
			2, 0.107, 31.192, 82.200, 0.214, 0.008
			2, 0.109, 31.836, 82.400, 0.219, 0.009
			2, 0.111, 32.538, 82.600, 0.223, 0.009
			2, 0.112, 33.190, 82.800, 0.228, 0.009
			2, 0.114, 33.708, 83.000, 0.231, 0.009
			2, 0.116, 34.124, 83.200, 0.234, 0.009
			2, 0.117, 34.604, 83.400, 0.238, 0.009
			2, 0.118, 35.076, 83.600, 0.241, 0.009
			2, 0.120, 35.572, 83.800, 0.244, 0.009
			2, 0.121, 36.126, 84.000, 0.248, 0.010
			2, 0.123, 36.609, 84.200, 0.251, 0.010
			2, 0.124, 37.133, 84.400, 0.255, 0.010
			2, 0.127, 37.841, 84.600, 0.260, 0.010
			2, 0.129, 38.546, 84.800, 0.265, 0.010
			2, 0.131, 39.281, 85.000, 0.270, 0.010
			2, 0.132, 39.710, 85.200, 0.273, 0.010
			2, 0.134, 40.168, 85.400, 0.276, 0.010
			2, 0.135, 40.628, 85.600, 0.279, 0.011
			2, 0.137, 41.122, 85.800, 0.282, 0.011
			2, 0.138, 41.643, 86.000, 0.286, 0.011
			2, 0.140, 42.198, 86.200, 0.290, 0.011
			2, 0.141, 42.689, 86.400, 0.293, 0.011
			2, 0.143, 43.298, 86.600, 0.297, 0.011
			2, 0.145, 43.938, 86.800, 0.302, 0.011
			2, 0.147, 44.649, 87.000, 0.307, 0.012
			2, 0.149, 45.302, 87.200, 0.311, 0.012
			2, 0.151, 45.754, 87.400, 0.314, 0.012
			2, 0.152, 46.180, 87.600, 0.317, 0.012
			2, 0.153, 46.712, 87.800, 0.321, 0.012
			2, 0.155, 47.191, 88.000, 0.324, 0.012
			2, 0.156, 47.731, 88.200, 0.328, 0.012
			2, 0.158, 48.194, 88.400, 0.331, 0.012
			2, 0.159, 48.728, 88.600, 0.335, 0.012
			2, 0.161, 49.336, 88.800, 0.339, 0.013
			2, 0.163, 50.029, 89.000, 0.343, 0.013
			2, 0.165, 50.700, 89.200, 0.348, 0.013
			2, 0.167, 51.274, 89.400, 0.352, 0.013
			2, 0.168, 51.717, 89.600, 0.355, 0.013
			2, 0.170, 52.212, 89.800, 0.358, 0.013
			2, 0.171, 52.674, 90.000, 0.362, 0.013
			2, 0.173, 53.159, 90.200, 0.365, 0.014
			2, 0.174, 53.735, 90.400, 0.369, 0.014
			2, 0.176, 54.228, 90.600, 0.372, 0.014
